,State type
0,1
1,0
2,0
3,1
4,1
5,0
6,0
7,1
8,1
9,1
10,1
11,1
12,0
13,1
14,0
15,0
16,0
17,0
18,1
19,0
20,1
21,1
22,0
23,0
24,0
25,1
26,0
27,0
28,0
29,0
30,1
31,0
32,0
33,1
34,1
35,1
36,1
37,0
38,0
39,0
40,0
41,1
42,1
43,1
44,0
45,1
46,1
47,0
48,1
49,0
50,1
51,0
52,1
53,1
54,1
55,0
56,1
57,0
58,0
59,0
60,0
61,1
62,0
63,1
64,1
65,0
66,0
67,1
68,0
69,1
70,1
71,1
72,1
73,0
74,0
75,1
76,0
77,0
78,1
79,0
80,0
81,1
82,0
83,0
84,0
85,1
86,0
87,0
88,1
89,1
90,1
91,0
92,1
93,1
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,1
107,0
108,0
109,1
110,0
111,1
112,0
113,1
114,1
115,0
116,0
117,0
118,0
119,0
120,1
121,0
122,1
123,1
124,1
125,0
126,1
127,1
128,0
129,1
130,0
131,1
132,1
133,0
134,0
135,0
136,1
137,1
138,1
139,0
140,0
141,1
142,0
143,0
144,0
145,0
146,1
147,0
148,1
149,0
150,1
151,0
152,0
153,0
154,1
155,1
156,0
157,1
158,0
159,0
160,1
161,1
162,0
163,0
164,1
165,0
166,1
167,0
168,1
169,1
170,0
171,1
172,1
173,0
174,1
175,0
176,0
177,0
178,1
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,1
187,1
188,1
189,0
190,1
191,0
192,1
193,0
194,1
195,1
196,1
197,1
198,0
199,0
200,1
201,1
202,1
203,1
204,0
205,1
206,0
207,0
208,0
209,1
210,1
211,1
212,1
213,1
214,0
215,1
216,0
217,1
218,1
219,0
220,1
221,0
222,1
223,1
224,1
225,0
226,1
227,0
228,0
229,1
230,1
231,0
232,1
233,0
234,1
235,1
236,0
237,0
238,0
239,0
240,1
241,0
242,0
243,0
244,0
245,0
246,1
247,1
248,0
249,1
250,1
251,0
252,0
253,0
254,1
255,1
256,1
257,1
258,0
259,0
260,0
261,0
262,0
263,1
264,1
265,0
266,0
267,0
268,1
269,0
270,1
271,0
272,0
273,1
274,1
275,0
276,1
277,0
278,1
279,0
280,0
281,0
282,0
283,1
284,0
285,0
286,1
287,0
288,1
289,1
290,0
291,1
292,0
293,0
294,1
295,1
296,1
297,1
298,0
299,1
300,1
301,0
302,1
303,1
304,1
305,1
306,1
307,0
308,1
309,0
310,0
311,1
312,1
313,0
314,1
315,0
316,0
317,0
318,0
319,1
320,0
321,1
322,0
323,0
324,0
325,1
326,1
327,0
328,1
329,0
330,0
331,1
332,1
333,0
334,1
335,1
336,0
337,1
338,1
339,0
340,1
341,1
342,0
343,1
344,0
345,1
346,1
347,1
348,1
349,0
350,0
351,0
352,0
353,0
354,0
355,1
356,1
357,0
358,1
359,0
360,0
361,1
362,1
363,1
364,0
365,1
366,0
367,1
368,1
369,0
370,1
371,1
372,0
373,1
374,0
375,1
376,1
377,0
378,0
379,1
380,0
381,1
382,0
383,1
384,0
385,1
386,1
387,0
388,0
389,0
390,0
391,0
392,0
393,0
394,0
395,1
396,1
397,0
398,1
399,0
400,1
401,1
402,0
403,0
404,0
405,1
406,1
407,0
408,1
409,1
410,1
411,1
412,0
413,1
414,1
415,0
416,0
417,0
418,0
419,1
420,1
421,1
422,1
423,1
424,0
425,0
426,0
427,1
428,1
429,1
430,0
431,1
432,1
433,1
434,0
435,0
436,1
437,0
438,1
439,0
440,1
441,0
442,0
443,0
444,0
445,0
446,0
447,1
448,1
449,0
450,0
451,1
452,1
453,0
454,0
455,1
456,1
457,0
458,1
459,1
460,0
461,1
462,0
463,0
464,1
465,1
466,1
467,0
468,1
469,0
470,0
471,1
472,0
473,1
474,1
475,0
476,0
477,0
478,0
479,1
480,1
481,0
482,0
483,0
484,0
485,1
486,0
487,1
488,0
489,1
490,0
491,1
492,0
493,0
494,0
495,0
496,0
497,1
498,1
499,0
500,0
501,1
502,1
503,0
504,0
505,0
506,0
507,1
508,1
509,0
510,0
511,0
512,0
513,1
514,1
515,1
516,0
517,1
518,0
519,1
520,0
521,0
522,1
523,1
524,0
525,1
526,0
527,1
528,1
529,1
530,1
531,1
532,1
533,0
534,0
535,0
536,1
537,1
538,1
539,0
540,1
541,1
542,1
543,1
544,1
545,0
546,0
547,0
548,1
549,1
550,1
551,1
552,1
553,1
554,0
555,0
556,0
557,1
558,1
559,0
560,0
561,0
562,1
563,1
564,1
565,1
566,0
567,0
568,0
569,0
570,0
571,0
572,0
573,1
574,0
575,1
576,1
577,0
578,1
579,0
580,0
581,1
582,0
583,0
584,1
585,1
586,0
587,1
588,1
589,0
590,0
591,1
592,0
593,0
594,1
595,1
596,1
597,1
598,0
599,1
600,1
601,0
602,0
603,1
604,1
605,1
606,1
607,0
608,0
609,1
610,0
611,1
612,0
613,1
614,1
615,1
616,0
617,0
618,1
619,1
620,0
621,1
622,0
623,1
624,1
625,0
626,1
627,1
628,0
629,0
630,1
631,1
632,1
633,1
634,1
635,1
636,1
637,0
638,0
639,0
640,1
641,0
642,1
643,1
644,1
645,1
646,0
647,0
648,1
649,1
650,0
651,0
652,0
653,1
654,1
655,1
656,0
657,1
658,1
659,0
660,1
661,1
662,1
663,0
664,1
665,1
666,0
667,0
668,1
669,1
670,0
671,1
672,0
673,1
674,0
675,0
676,1
677,1
678,1
679,1
680,1
681,1
682,0
683,0
684,0
685,0
686,0
687,1
688,1
689,1
690,0
691,1
692,0
693,0
694,0
695,0
696,1
697,0
698,0
699,1
700,0
701,0
702,0
703,0
704,0
705,0
706,1
707,1
708,0
709,1
710,1
711,1
712,0
713,0
714,0
715,0
716,0
717,0
718,0
719,0
720,1
721,1
722,0
723,1
724,0
725,0
726,1
727,0
728,0
729,1
730,1
731,1
732,1
733,0
734,1
735,1
736,0
737,0
738,1
739,1
740,0
741,0
742,1
743,0
744,1
745,1
746,1
747,1
748,1
749,0
750,0
751,1
752,1
753,0
754,1
755,0
756,1
757,0
758,1
759,0
760,1
761,0
762,1
763,1
764,1
765,0
766,0
767,0
768,0
769,1
770,1
771,0
772,1
773,0
774,0
775,0
776,0
777,1
778,1
779,1
780,0
781,0
782,0
783,1
784,0
785,0
786,1
787,1
788,0
789,1
790,1
791,1
792,1
793,0
794,1
795,1
796,0
797,0
798,0
799,0
800,0
801,1
802,0
803,1
804,0
805,1
806,0
807,1
808,1
809,1
810,0
811,0
812,1
813,1
814,1
815,0
816,0
817,1
818,0
819,0
820,1
821,0
822,1
823,0
824,0
825,0
826,1
827,0
828,0
829,1
830,1
831,1
832,1
833,1
834,1
835,1
836,0
837,1
838,1
839,1
840,1
841,1
842,1
843,0
844,1
845,0
846,1
847,1
848,1
849,0
850,0
851,1
852,1
853,1
854,0
855,0
856,1
857,1
858,1
859,1
860,0
861,1
862,1
863,0
864,1
865,1
866,1
867,0
868,1
869,0
870,0
871,1
872,1
873,1
874,0
875,0
876,0
877,0
878,0
879,1
880,0
881,1
882,0
883,0
884,0
885,0
886,0
887,1
888,1
889,0
890,0
891,1
892,0
893,0
894,0
895,0
896,1
897,0
898,0
899,1
900,1
901,1
902,1
903,1
904,1
905,0
906,0
907,0
908,1
909,0
910,1
911,1
912,1
913,1
914,1
915,1
916,1
917,0
918,0
919,0
920,1
921,0
922,1
923,1
924,1
925,0
926,0
927,0
928,0
929,0
930,1
931,0
932,1
933,0
934,0
935,0
936,0
937,1
938,0
939,0
940,1
941,0
942,0
943,1
944,0
945,1
946,1
947,1
948,0
949,1
950,0
951,0
952,0
953,1
954,1
955,1
956,0
957,1
958,1
959,0
960,0
961,0
962,0
963,1
964,1
965,1
966,1
967,1
968,0
969,1
970,1
971,1
972,0
973,0
974,0
975,1
976,1
977,1
978,1
979,0
980,0
981,1
982,1
983,0
984,0
985,0
986,0
987,1
988,0
989,0
990,1
991,1
992,1
993,0
994,1
995,1
996,1
997,0
998,0
999,0
1000,1
1001,1
1002,1
1003,1
1004,0
1005,0
1006,0
1007,1
1008,0
1009,1
1010,1
1011,0
1012,0
1013,0
1014,1
1015,1
1016,0
1017,1
1018,1
1019,1
1020,0
1021,0
1022,0
1023,1
1024,0
1025,1
1026,1
1027,1
1028,0
1029,0
1030,0
1031,0
1032,1
1033,0
1034,1
1035,1
1036,0
1037,1
1038,1
1039,1
1040,0
1041,0
1042,1
1043,0
1044,1
1045,0
1046,0
1047,1
1048,0
1049,0
1050,0
1051,1
1052,1
1053,0
1054,1
1055,1
1056,1
1057,0
1058,1
1059,1
1060,0
1061,1
1062,0
1063,0
1064,1
1065,0
1066,1
1067,0
1068,0
1069,1
1070,0
1071,1
1072,1
1073,0
1074,1
1075,0
1076,1
1077,0
1078,0
1079,1
1080,0
1081,1
1082,1
1083,1
1084,0
1085,1
1086,0
1087,0
1088,1
1089,0
1090,1
1091,1
1092,1
1093,0
1094,1
1095,0
1096,0
1097,1
1098,1
1099,0
1100,0
1101,0
1102,0
1103,1
1104,0
1105,1
1106,1
1107,1
1108,1
1109,1
1110,0
1111,1
1112,1
1113,0
1114,0
1115,0
1116,1
1117,1
1118,0
1119,1
1120,0
1121,0
1122,1
1123,1
1124,1
1125,0
1126,0
1127,1
1128,1
1129,1
1130,1
1131,1
1132,0
1133,1
1134,0
1135,1
1136,0
1137,0
1138,1
1139,0
1140,1
1141,0
1142,0
1143,1
1144,0
1145,0
1146,0
1147,0
1148,0
1149,1
1150,1
1151,0
1152,1
1153,0
1154,0
1155,1
1156,1
1157,0
1158,1
1159,0
1160,0
1161,0
1162,1
1163,1
1164,1
1165,1
1166,1
1167,0
1168,0
1169,0
1170,0
1171,1
1172,1
1173,1
1174,1
1175,0
1176,1
1177,1
1178,0
1179,0
1180,1
1181,1
1182,1
1183,1
1184,0
1185,1
1186,1
1187,1
1188,1
1189,1
1190,0
1191,0
1192,1
1193,1
1194,1
1195,0
1196,0
1197,1
1198,1
1199,0
1200,1
1201,0
1202,1
1203,0
1204,0
1205,0
1206,0
1207,0
1208,1
1209,0
1210,1
1211,0
1212,1
1213,1
1214,0
1215,0
1216,1
1217,0
1218,1
1219,0
1220,0
1221,1
1222,1
1223,0
1224,1
1225,1
1226,0
1227,1
1228,0
1229,1
1230,0
