,Labels
0,1
1,1
2,0
3,0
4,0
5,0
6,1
7,0
8,1
9,0
10,0
11,1
12,0
13,1
14,1
15,1
16,1
17,1
18,0
19,1
20,1
21,0
22,1
23,1
24,0
25,0
26,0
27,1
28,1
29,1
30,1
31,0
32,0
33,1
34,0
35,1
36,0
37,1
38,0
39,1
40,0
41,0
42,1
43,0
44,0
45,0
46,0
47,0
48,0
49,1
50,0
51,0
52,1
53,1
54,1
55,0
56,0
57,0
58,1
59,0
60,0
61,1
62,1
63,0
64,0
65,1
66,0
67,0
68,0
69,0
70,0
71,0
72,1
73,0
74,0
75,1
76,1
77,0
78,0
79,0
80,1
81,1
82,0
83,1
84,1
85,0
86,0
87,0
88,0
89,1
90,1
91,1
92,1
93,0
94,1
95,0
96,1
97,1
98,1
99,0
100,1
101,1
102,0
103,1
104,0
105,0
106,0
107,0
108,1
109,1
110,1
111,0
112,1
113,1
114,1
115,1
116,1
117,0
118,1
119,0
120,1
121,1
122,0
123,0
124,1
125,0
126,0
127,1
128,1
129,1
130,1
131,0
132,0
133,0
134,0
135,1
136,0
137,1
138,0
139,0
140,0
141,0
142,1
143,0
144,0
145,1
146,0
147,1
148,1
149,1
150,0
151,0
152,0
153,1
154,0
155,0
156,1
157,1
158,1
159,1
160,0
161,1
162,0
163,0
164,1
165,1
166,1
167,1
168,1
169,0
170,0
171,1
172,0
173,1
174,0
175,0
176,1
177,0
178,0
179,0
180,1
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,1
190,1
191,0
192,1
193,1
194,0
195,1
196,0
197,0
198,0
199,1
200,1
201,0
202,0
203,0
204,0
205,1
206,0
207,1
208,0
209,0
210,1
211,0
212,0
213,1
214,1
215,1
216,1
217,1
218,1
219,0
220,0
221,0
222,1
223,0
224,1
225,1
226,1
227,1
228,0
229,0
230,1
231,1
232,0
233,0
234,0
235,1
236,0
237,0
238,1
239,0
240,0
241,1
242,0
243,1
244,0
245,0
246,0
247,0
248,0
249,0
250,1
251,1
252,0
253,0
254,1
255,0
256,1
257,0
258,1
259,1
260,1
261,0
262,1
263,1
264,1
265,1
266,0
267,1
268,1
269,0
270,1
271,1
272,0
273,0
274,0
275,1
276,0
277,1
278,0
279,1
280,1
281,1
282,0
283,0
284,1
285,1
286,1
287,1
288,1
289,1
290,1
291,0
292,0
293,1
294,0
295,1
296,0
297,0
298,0
299,1
300,1
301,1
302,0
303,0
304,0
305,1
306,0
307,0
308,1
309,0
310,0
311,1
312,0
313,1
314,0
315,0
316,1
317,1
318,0
319,1
320,1
321,0
322,1
323,1
324,1
325,0
326,1
327,1
328,1
329,0
330,0
331,1
332,0
333,1
334,1
335,0
336,1
337,0
338,0
339,0
340,0
341,0
342,1
343,0
344,1
345,1
346,1
347,0
348,1
349,0
350,1
351,1
352,1
353,0
354,1
355,1
356,0
357,0
358,1
359,1
360,1
361,1
362,0
363,0
364,0
365,1
366,0
367,1
368,1
369,0
370,1
371,0
372,1
373,0
374,1
375,1
376,1
377,1
378,0
379,0
380,1
381,0
382,1
383,1
384,1
385,1
386,1
387,1
388,1
389,0
390,1
391,1
392,1
393,0
394,1
395,1
396,1
397,1
398,1
399,0
400,0
401,0
402,0
403,0
404,0
405,0
406,0
407,0
408,1
409,1
410,1
411,0
412,1
413,0
414,0
415,1
416,0
417,1
418,0
419,0
420,1
421,0
422,1
423,0
424,0
425,1
426,0
427,1
428,0
429,1
430,1
431,0
432,0
433,1
434,1
435,0
436,0
437,0
438,0
439,0
440,1
441,1
442,0
443,1
444,0
445,0
446,1
447,0
448,0
449,1
450,1
451,1
452,1
453,0
454,0
455,1
456,0
457,0
458,1
459,0
460,1
461,0
462,1
463,1
464,0
465,0
466,1
467,1
468,1
469,0
470,1
471,1
472,1
473,0
474,0
475,0
476,1
477,0
478,1
479,0
480,1
481,1
482,0
483,1
484,0
485,0
486,1
487,1
488,0
489,0
490,1
491,1
492,0
493,1
494,1
495,0
496,0
497,1
498,1
499,1
500,1
501,0
502,0
503,1
504,1
505,0
506,0
507,1
508,1
509,0
510,0
511,0
512,0
513,0
514,1
515,1
516,1
517,1
518,0
519,0
520,0
521,0
522,0
523,1
524,1
525,1
526,1
527,1
528,0
529,1
530,0
531,1
532,1
533,0
534,0
535,0
536,1
537,1
538,1
539,1
540,0
541,1
542,0
543,1
544,1
545,0
546,0
547,1
548,0
549,0
550,0
551,0
552,1
553,1
554,1
555,0
556,1
557,0
558,0
559,0
560,1
561,1
562,0
563,1
564,1
565,1
566,1
567,0
568,0
569,1
570,1
571,1
572,1
573,0
574,1
575,0
576,1
577,0
578,1
579,1
580,1
581,0
582,0
583,0
584,0
585,1
586,1
587,1
588,1
589,0
590,1
591,1
592,1
593,1
594,1
595,0
596,0
597,0
598,0
599,1
600,0
601,0
602,0
603,1
604,1
605,1
606,0
607,0
608,1
609,1
610,1
611,0
612,1
613,0
614,0
615,1
616,1
617,1
618,1
619,1
620,0
621,0
622,1
623,1
624,1
625,0
626,1
627,0
628,0
629,1
630,0
631,1
632,0
633,1
634,0
635,0
636,1
637,0
638,1
639,0
640,0
641,1
642,0
643,1
644,0
645,0
646,1
647,1
648,0
649,1
650,0
651,1
652,1
653,0
654,1
655,0
656,0
657,0
658,0
659,1
660,1
661,1
662,0
663,1
664,1
665,1
666,0
667,1
668,0
669,0
670,0
671,1
672,0
673,1
674,0
675,0
676,0
677,1
678,0
679,1
680,1
681,1
682,1
683,1
684,1
685,1
686,0
687,0
688,0
689,1
690,1
691,1
692,0
693,0
694,0
695,0
696,1
697,0
698,0
699,0
700,1
701,1
702,0
703,1
704,1
705,0
706,0
707,0
708,1
709,0
710,0
711,1
712,0
713,0
714,0
715,0
716,0
717,0
718,0
719,0
720,0
721,0
722,0
723,1
724,0
725,1
726,0
727,1
728,1
729,0
730,1
731,0
732,0
733,1
734,0
735,1
736,1
737,0
738,0
739,0
740,0
741,0
742,1
743,1
744,1
745,0
746,0
747,1
748,0
749,1
750,0
751,0
752,1
753,1
754,1
755,0
756,0
757,1
758,1
759,0
760,0
761,0
762,1
763,0
764,1
765,1
766,1
767,1
768,0
769,0
770,0
771,1
772,0
773,1
774,0
775,0
776,1
777,0
778,0
779,1
780,0
781,1
782,1
783,1
784,0
785,0
786,1
787,1
788,0
789,1
790,1
791,0
792,0
793,0
794,0
795,1
796,1
797,1
798,0
799,0
800,1
801,1
802,1
803,1
804,0
805,1
806,0
807,1
808,0
809,1
810,0
811,0
812,0
